"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Gross domestic product at market prices","11,865,469.5",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure","9,453,934.7",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","2,524,507.7",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,555,648.8",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","6,928,644.1",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of households","6,736,942.4",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Gross capital formation","2,319,829.1",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Gross fixed capital formation","2,408,305.8",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Exports of services","1,140,069.6",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Imports of services","1,008,823.1",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","External balance - Goods",":",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Compensation of employees",":",""
"2009","European Union (28 countries)","Chain linked volumes (2005), million euro","Wages and salaries",":",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Gross domestic product at market prices","11,042,537.8",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure","8,807,684.8",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of general government","2,373,269.7",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Individual consumption expenditure of general government","1,477,284.7",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Household and NPISH final consumption expenditure","6,434,032.6",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Final consumption expenditure of households","6,250,448.6",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Gross capital formation","2,128,727.7",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Gross fixed capital formation","2,206,790.6",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Changes in inventories",":",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Exports of services","1,044,656.4",""
"2009","European Union (15 countries)","Chain linked volumes (2005), million euro","Imports of services","934,225.3",""
